Job ID,Agency,Job Title,Salary,Work Location,Job Description,Minimum Qual Requirements,Preferred Skills,Posting Date
132292,NYC HOUSING AUTHORITY,Maintenance Worker - Technical Services-Heating Unit,51908,Heating Mgt-Operations,"Under direct supervision, assist in the routine maintenance operation and repair of public buildings, structures, and the equipment they contain; perform related work.  Responsibilities  include, but are not limited to the following:    1.  Perform minor and major repairs to boilers, burners, vacuum tank, pumps, motors and other various heating equipment citywide.  2.  Survey and report on existing conditions of heating equipment.  3.  Assist Heating Superintendent with periodic reports.  4.  Assist skill trades staff.  5.  Provide assistance during emergencies.  6.  Respond to all heating/hot water service disruptions.    Candidates selected must be available to work and travel throughout the five boroughs; and will be required to work rotating shifts, including holidays and weekends.    8:00 AM - 4:00 PM  4:00 PM - 12:00 AM  12:00 AM - 8:00 AM","1. Three years of full-time satisfactory experience as a mechanic, journey person or helper in the electrical trades, the mechanical trades, or the construction or maintenance of buildings; or  2. A satisfactory combination of education and experience that is equivalent to ''1'' above. Education may be substituted for experience on the basis that each one year of full-time training in the electrical, mechanical, or construction trades in a trade school or vocational high school approved by a Stateâ€™s Department of Education or a recognized accrediting organization, may be substituted for six months of the experience described in ''1'' above. However, all candidates must have a minimum of two years of experience as described in ''1'' above.","1.  A High School Diploma or GED.  2.  CDL Driver's License.  3.  Excellent trouble-shooting ability and mechanical aptitude.  4.  Excellent analytical and organizational skills.  5.  Ability to trouble-shoot various types of vacuum heating equipment.  6.  Knowledge of steam and pneumatic heating systems; steam and hot water generating systems; various types of heat, air and water pumps.  7.  Knowledge of Maximo work order system.",2013-10-24
132786,DEPT OF ENVIRONMENT PROTECTION,"Director, Strategic Sourcing",54740,59-17 Junction Blvd Corona Ny,"The NYC Department of Environmental Protection (DEP) is one of the nationâ€™s largest water and wastewater utilities, with 5,500 employees providing service to more than 8 million residents of New York City, and more than 1 million residents in Upstate New York.  In order to provide 1 billion gallons per day of world-class drinking water and keep the New York harbor waters clean by treating 1.3 billion gallons per day of wastewater, we purchase up to $200 million per year of chemicals, operating and maintenance services, and biosolids and waste processing.  We are creating a Strategic Sourcing office to transform the way we define and structure our operational needs, analyze the market, and interact with current and potential vendors for the goods and services we buy most frequently.      Reporting to the Chief Financial Officer (CFO), the Director of Strategic Sourcing will lead the planning, coordination, development and progress of strategic sourcing with the goal of achieving significant year-over-year reductions in the total cost of ownership (TCO) of goods and services procured while maintaining or improving product quality and vendor service levels by working closely with key stakeholders across the City and DEP to develop effective cost-reduction strategies and implementation plans, institutionalizing strategic sourcing across DEP and being directly responsible for the annual spending in these areas.     Specifically, the Director will:     Oversee the development and execution of strategies through the strategic sourcing process by guide strategic development for major commodities; overseeing the development of annual strategic sourcing plans; and communicating team progress with the CFO and senior business unit leaders.     Oversee the process to select and manage suppliers by driving relevant supplier selection and negotiating processes based on each commodityâ€™s sourcing strategy; and establishing and maintaining relationships with the senior management of key suppliers.     Measure and track internal performance within each spend category by tracking forecasted vs. actual savings and budget impact for the portfolio of commodities and communicate performance; and managing the development of data dashboards.      Monitor strategy implementation by coordinating and communicating overall sourcing trends/ results of commodities to the CFO and business unit leadership.     Drive annual productivity improvements in each spend category by developing and ensuring the implementation of ideas to optimize total cost of ownership for spend categories within the portfolio.     Develop an expertise in the portfolio spend categories by remaining current with market trends through relationships with vendors, experts, and the market broadly.       Identifying/defining sourcing best practices both within and outside of DEP and ensuring that those best practices are widely adopted by DEP's business groups.     Integrate commercial mindset purchasing into core business processes by working actively with key stakeholders in operating business units..     Uphold internal and external policies, regulations and laws by maintaining a working knowledge of applicable laws, regulations and internal policies (e.g., code of ethics) or procedures; and developing and maintaining a close working relationship with DEP Chief Contracting Officer and citywide purchasing personnel.","1. A baccalaureate degree from an accredited college in engineering, architecture, landscape architecture, business administration, or public administration, and five years of full-time satisfactory experience in the planning, administering or expediting of engineering design, and/or construction, or coordinating a very large engineering project, two years of which must have been in an administrative, managerial, executive or supervisory capacity; or  2. A four year high school diploma or its educational equivalent and nine years of experience as described in ''1'' above; two years of which must have been in an administrative, managerial, executive or supervisory capacity; or  3. Education and/or experience equivalent to ''1'' or ''2'' above. An accredited Master's degree in one of the disciplines described in ''1'' above, a law degree, or a valid New York State license as a Professional Engineer or Registered Architect or Landscape Architect may be substituted for one year of the required experience. However, all candidates must have the two years of the administrative, managerial, executive or supervisory experience as described in ''1'' above.","-  An MBA or other graduate degree potentially acceptable  -  Five plus years track record in a procurement organization  -  Applicable certifications  -  experience with/insights to assigned commodities (chemicals, services, and/or biosolids and waste)  ",2013-10-08
132292,NYC HOUSING AUTHORITY,Maintenance Worker - Technical Services-Heating Unit,51908,Heating Mgt-Operations,"Under direct supervision, assist in the routine maintenance operation and repair of public buildings, structures, and the equipment they contain; perform related work.  Responsibilities  include, but are not limited to the following:    1.  Perform minor and major repairs to boilers, burners, vacuum tank, pumps, motors and other various heating equipment citywide.  2.  Survey and report on existing conditions of heating equipment.  3.  Assist Heating Superintendent with periodic reports.  4.  Assist skill trades staff.  5.  Provide assistance during emergencies.  6.  Respond to all heating/hot water service disruptions.    Candidates selected must be available to work and travel throughout the five boroughs; and will be required to work rotating shifts, including holidays and weekends.    8:00 AM - 4:00 PM  4:00 PM - 12:00 AM  12:00 AM - 8:00 AM","1. Three years of full-time satisfactory experience as a mechanic, journey person or helper in the electrical trades, the mechanical trades, or the construction or maintenance of buildings; or  2. A satisfactory combination of education and experience that is equivalent to ''1'' above. Education may be substituted for experience on the basis that each one year of full-time training in the electrical, mechanical, or construction trades in a trade school or vocational high school approved by a Stateâ€™s Department of Education or a recognized accrediting organization, may be substituted for six months of the experience described in ''1'' above. However, all candidates must have a minimum of two years of experience as described in ''1'' above.","1.  A High School Diploma or GED.  2.  CDL Driver's License.  3.  Excellent trouble-shooting ability and mechanical aptitude.  4.  Excellent analytical and organizational skills.  5.  Ability to trouble-shoot various types of vacuum heating equipment.  6.  Knowledge of steam and pneumatic heating systems; steam and hot water generating systems; various types of heat, air and water pumps.  7.  Knowledge of Maximo work order system.",2013-10-24
172053,DEPT OF INFO TECH & TELECOMM,311 Call Center Manager,49492,59 Maiden Lane,"DoITT provides for the sustained, efficient and effective delivery of IT services, infrastructure and telecommunications to enhance service delivery to New York City's residents, businesses, employees and visitors. As the City's technology leader, DoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human services, from education to economic development crossing the full spectrum of governmental operations.    The successful candidate will serve as a 311 Call Center Manager reporting to the 311 Citizen Service Center. Responsibilities will include: Manage a team of supervisors, team leaders, and call center representatives; monitor Call Center operations by managing and elevating risks and resolving issues; identify training and coaching needs to ensure quality customer service; oversee preparation of statistical reports, administrative reports, and analysis utilizing advanced functions of Microsoft Office programs and call center technologies; recommend improved business processes and operational efficiencies; develop project plans and detailed documentation; establish and maintain cooperative relationships with executive management and support teams concerning implementation and coordination of Call Center services; conduct meetings and presentations; utilize automated systems, social media tools, and business intelligence applications to support data-driven strategies; serve as a liaison on behalf of 311 with internal and external entities; and oversee special projects as assigned.","1. A baccalaureate degree from an accredited college and four years of satisfactory, full-time progressively responsible clerical/administrative experience requiring independent decision-making concerning program management or planning, allocation for resources and the scheduling and assignment of work, 18 months of which must have been in an administrative, managerial, executive or supervisory capacity. The supervisory work must have been in the supervision of staff performing clerical/administrative work of more than moderate difficulty; or  2. An associate degree or 60 semester credits from an accredited college and five years of satisfactory, full-time progressively responsible experience as described in ''1'' above, 18 months of which must have been in an administrative, managerial, executive or supervisory capacity. The supervisory work must have been in the supervision of staff performing clerical/administrative work of more than moderate difficulty; or  3. A four-year high school diploma or its educational equivalent and six years of  satisfactory, full-time progressively responsible experience as described in ''1''  above, 18 months of which must have been in an administrative, managerial,  executive or supervisory capacity. The supervisory work must have been in the  supervision of staff performing clerical/administrative work of more than  moderate difficulty; or  4. Education and/or experience equivalent to ''1'', ''2'' or ''3'' above. However, all  candidates must possess the 18 months of administrative, managerial, executive or supervisory experience as described in ''1'', ''2'' or ''3'' above. Education above  the high school level may be substituted for the general clerical/administrative  experience (but not for the administrative, managerial, executive or supervisory  experience described in ''1'', ''2'' or ''3'' above) at a rate of 30 semester credits  from an accredited college for 6 months of experience up to a maximum of 3Â½  years.","The preferred candidate should have the following: Professional experience managing or supervising work teams in a large Call Center environment; demonstrated ability to coach, motivate, and develop team members; outstanding collaboration and leadership skills; demonstrated knowledge of call center best practices, call center key performance indicators, business drivers, call center telephony, and application technologies; advanced knowledge of Microsoft Office programs such as Word, Excel, Access, Visio, Project, and PowerPoint; strong knowledge of online trends and social media tools; advanced written and verbal communication skills; strong customer and quality focus; excellent planning and problem solving skills; advanced project management skills; superior organization and facilitation skills; ability to manage multiple tasks simultaneously with tight deadlines; and ability to interface effectively with executive level management. Prior work experience as a Call Center Manager or Call Center Supervisor is strongly preferred.",2014-10-21
172546,DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Childcare",56555,"125 Worth Street, Nyc","** $56,555.00 HIRING RATE (FLAT) ON BOARD AFTER ONE YEAR: $62,210.00 - $68,431.00  The Bureau of Child Care is the regulatory agency for childcare services (public/private) operating within New York City. The Bureau regulates Group Child Care and Summer Camps as provided for in the New York City Health Code, and provides licensing  and registration services for Group Family Child Care, Child Care and School-Age Care, as regulated under NYS social services law. The Bureau is committed to ensuring a safe and healthy environment for all children in child care.   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:  -- Assist in conducting site assessments of child care programs identified to fall under the project scope, and in providing consultation and technical support to child care operators and staff.  -- Under supervision,  review and analyze child care performance data for operational compliance and reporting to senior management.  -- Assist in conducting quantitative data analysis to identify child care programs chronically not in compliance with the NYC Health Code.  --Monitor the quality of child care data for completeness and accuracy through data cleaning and generate reports.  -- Assist with the development and implementation of operational protocols and procedures.","1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to ''1'' or ''2'' above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ''2'' above. Two years as a City Research Scientist Level I can be substituted for the experience required in ''1'' and ''2'' above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.",Observational and analytical skills including the ability to deduce potential impacts of conditions and assess risk. Ability to assess and report on compliance with given provisions or requirements. Excellent written and verbal communication skills and the ability to adequately describe observations in detail. Mobile and desktop computing skills including proficiency in Word and Excel.,2014-10-23
172546,DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Childcare",56555,"125 Worth Street, Nyc","** $56,555.00 HIRING RATE (FLAT) ON BOARD AFTER ONE YEAR: $62,210.00 - $68,431.00  The Bureau of Child Care is the regulatory agency for childcare services (public/private) operating within New York City. The Bureau regulates Group Child Care and Summer Camps as provided for in the New York City Health Code, and provides licensing  and registration services for Group Family Child Care, Child Care and School-Age Care, as regulated under NYS social services law. The Bureau is committed to ensuring a safe and healthy environment for all children in child care.   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:  -- Assist in conducting site assessments of child care programs identified to fall under the project scope, and in providing consultation and technical support to child care operators and staff.  -- Under supervision,  review and analyze child care performance data for operational compliance and reporting to senior management.  -- Assist in conducting quantitative data analysis to identify child care programs chronically not in compliance with the NYC Health Code.  --Monitor the quality of child care data for completeness and accuracy through data cleaning and generate reports.  -- Assist with the development and implementation of operational protocols and procedures.","1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to ''1'' or ''2'' above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ''2'' above. Two years as a City Research Scientist Level I can be substituted for the experience required in ''1'' and ''2'' above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.",Observational and analytical skills including the ability to deduce potential impacts of conditions and assess risk. Ability to assess and report on compliance with given provisions or requirements. Excellent written and verbal communication skills and the ability to adequately describe observations in detail. Mobile and desktop computing skills including proficiency in Word and Excel.,2014-10-23
132786,DEPT OF ENVIRONMENT PROTECTION,"Director, Strategic Sourcing",54740,59-17 Junction Blvd Corona Ny,"The NYC Department of Environmental Protection (DEP) is one of the nationâ€™s largest water and wastewater utilities, with 5,500 employees providing service to more than 8 million residents of New York City, and more than 1 million residents in Upstate New York.  In order to provide 1 billion gallons per day of world-class drinking water and keep the New York harbor waters clean by treating 1.3 billion gallons per day of wastewater, we purchase up to $200 million per year of chemicals, operating and maintenance services, and biosolids and waste processing.  We are creating a Strategic Sourcing office to transform the way we define and structure our operational needs, analyze the market, and interact with current and potential vendors for the goods and services we buy most frequently.      Reporting to the Chief Financial Officer (CFO), the Director of Strategic Sourcing will lead the planning, coordination, development and progress of strategic sourcing with the goal of achieving significant year-over-year reductions in the total cost of ownership (TCO) of goods and services procured while maintaining or improving product quality and vendor service levels by working closely with key stakeholders across the City and DEP to develop effective cost-reduction strategies and implementation plans, institutionalizing strategic sourcing across DEP and being directly responsible for the annual spending in these areas.     Specifically, the Director will:     Oversee the development and execution of strategies through the strategic sourcing process by guide strategic development for major commodities; overseeing the development of annual strategic sourcing plans; and communicating team progress with the CFO and senior business unit leaders.     Oversee the process to select and manage suppliers by driving relevant supplier selection and negotiating processes based on each commodityâ€™s sourcing strategy; and establishing and maintaining relationships with the senior management of key suppliers.     Measure and track internal performance within each spend category by tracking forecasted vs. actual savings and budget impact for the portfolio of commodities and communicate performance; and managing the development of data dashboards.      Monitor strategy implementation by coordinating and communicating overall sourcing trends/ results of commodities to the CFO and business unit leadership.     Drive annual productivity improvements in each spend category by developing and ensuring the implementation of ideas to optimize total cost of ownership for spend categories within the portfolio.     Develop an expertise in the portfolio spend categories by remaining current with market trends through relationships with vendors, experts, and the market broadly.       Identifying/defining sourcing best practices both within and outside of DEP and ensuring that those best practices are widely adopted by DEP's business groups.     Integrate commercial mindset purchasing into core business processes by working actively with key stakeholders in operating business units..     Uphold internal and external policies, regulations and laws by maintaining a working knowledge of applicable laws, regulations and internal policies (e.g., code of ethics) or procedures; and developing and maintaining a close working relationship with DEP Chief Contracting Officer and citywide purchasing personnel.","1. A baccalaureate degree from an accredited college in engineering, architecture, landscape architecture, business administration, or public administration, and five years of full-time satisfactory experience in the planning, administering or expediting of engineering design, and/or construction, or coordinating a very large engineering project, two years of which must have been in an administrative, managerial, executive or supervisory capacity; or  2. A four year high school diploma or its educational equivalent and nine years of experience as described in ''1'' above; two years of which must have been in an administrative, managerial, executive or supervisory capacity; or  3. Education and/or experience equivalent to ''1'' or ''2'' above. An accredited Master's degree in one of the disciplines described in ''1'' above, a law degree, or a valid New York State license as a Professional Engineer or Registered Architect or Landscape Architect may be substituted for one year of the required experience. However, all candidates must have the two years of the administrative, managerial, executive or supervisory experience as described in ''1'' above.","-  An MBA or other graduate degree potentially acceptable  -  Five plus years track record in a procurement organization  -  Applicable certifications  -  experience with/insights to assigned commodities (chemicals, services, and/or biosolids and waste)  ",2013-10-08
133921,NYC HOUSING AUTHORITY,Temporary Painter,35,DMP-Financial Unit,"Responsibilities of selected candidates will include, but are not limited to the following:    1.  Prepare, fill and prime surfaces for painting.  2.   Mix paint components and match colors.  3.  Apply paint with a brush, roller or spray gun.  4.  Apply plaster to surfaces.  5.  Work on and from ladders, platforms and scaffolds  6.  Rig lines and scaffolds.",1. Five years of full-time satisfactory experience as a painter acquired within the last fifteen years; or  2. At least three years of full-time satisfactory experience as a painter acquired within the last fifteen years and sufficient full-time satisfactory apprentice painter experience to make up a total of five years of acceptable experience. Six months of acceptable experience will be credited for each year of apprentice painter experience., ,2014-01-09
133921,NYC HOUSING AUTHORITY,Temporary Painter,35,DMP-Financial Unit,"Responsibilities of selected candidates will include, but are not limited to the following:    1.  Prepare, fill and prime surfaces for painting.  2.   Mix paint components and match colors.  3.  Apply paint with a brush, roller or spray gun.  4.  Apply plaster to surfaces.  5.  Work on and from ladders, platforms and scaffolds  6.  Rig lines and scaffolds.",1. Five years of full-time satisfactory experience as a painter acquired within the last fifteen years; or  2. At least three years of full-time satisfactory experience as a painter acquired within the last fifteen years and sufficient full-time satisfactory apprentice painter experience to make up a total of five years of acceptable experience. Six months of acceptable experience will be credited for each year of apprentice painter experience., ,2014-01-09
134511,DEPT OF ENVIRONMENT PROTECTION,Green Infrastructure Engineer,57129,59-17 Junction Blvd Corona Ny,"The Forestry, Horticulture, and Natural Resources Group is responsible for citywide urban forestry, ecological and horticulture initiatives, policy standards and performance measures,  including street tree planting, Greenstreets, Green Infrastructure, natural areas restoration and horticultural training and education.  The Green Infrastructure Unit focuses on stormwater capture in priority Combined Sewage Overflow (CSO) tributary areas, primarily in the right of way.  This program within the Parks Department that is a partnership with the Department of Environmental Protectionâ€™s (DEP) Office of Green Infrastructure.  Our work with DEP focuses on stormwater capture in priority CSO tributary areas, primarily in the right of way.  This work not only improves the function of the cityâ€™s sewer system, it transforms grey space into green, providing New Yorkers with all of the commensurate benefits green space provides.    Major Responsibilities:  â€¢	Represent an agency in relations with City agencies, contractors, consultants, or their representatives, and the general public in matters relating to environmental engineering  â€¢	Engage in, or supervise the conduct of complex and important research, investigations, studies, or examinations related to the environmental engineering functions or activities of a department or agency.  â€¢	Prepare or supervise the preparation of the basic design plan, or significant and complex portions of the basic design plan, for major green infrastructure environmental engineering projects for the construction, remodeling, operation, maintenance, or repair of green infrastructure systems  â€¢	Makes interpretive detail sketches or layouts of intricate or fundamental portions or aspects of the basic design plan for environmental engineering projects as proposed or adopted, and prepares maps, designs, plans, contract and working drawings, estimates, contract specifications, and other technical specifications  â€¢	Approve or supervise the design, inspection, construction, demolition, and/or alteration of premises, installations, or apparatus to insure compliance with contracts, drawings, specifications, codes, resolutions, statutes, rules, and regulations  â€¢	Prepare reports on contracts and contract estimates, contract modifications and recommendations of award; participate in the development of proposals for green infrastructure engineering projects with regard to the public or private use of City property, the conduct of surveys, and the construction, operation or maintenance of green infrastructure structures  â€¢	When assigned in writing, may sign and seal engineering and other official documents","1. A valid New York State Professional Engineer License and four years of full-time experience in environmental engineering. A master's degree in environmental engineering from an accredited college will be accepted as equivalent to one year of the  full-time experience in environmental engineering.     SPECIAL NOTE:  In addition to above qualification requirements, to be eligible for placement in Assignment Level II or III, individuals must have at least one year within the last three years of experience as a major contributor or a project leader on a complex project requiring additional and specific expertise in the disciplines needed to design or construct the project.","Preferred Skills/Qualifications  1. Knowledge of sustainable urban design and Green Infrastructure principles, including LEED certification.  2. Sustainable design experience and knowledge.  3. Construction Project Management experience and knowledge.  4. Excellent communication, interpersonal and organizational skills.  5. Fluency in AutoCAD and Adobe Suite.  6. Proficiency in Microsoft Word and Excel, PowerPoint and Access.  7. Valid New York State Driver License.",2013-11-15
134515,DEPT OF ENVIRONMENT PROTECTION,Green Infrastructure Engineer,57129,59-17 Junction Blvd Corona Ny,"The Forestry, Horticulture, and Natural Resources Group is responsible for citywide urban forestry, ecological and horticulture initiatives, policy standards and performance measures,  including street tree planting, Greenstreets, Green Infrastructure, natural areas restoration and horticultural training and education.  The Green Infrastructure Unit focuses on stormwater capture in priority Combined Sewage Overflow (CSO) tributary areas, primarily in the right of way.  This program within the Parks Department that is a partnership with the Department of Environmental Protectionâ€™s (DEP) Office of Green Infrastructure.  Our work with DEP focuses on stormwater capture in priority CSO tributary areas, primarily in the right of way.  This work not only improves the function of the cityâ€™s sewer system, it transforms grey space into green, providing New Yorkers with all of the commensurate benefits green space provides.    Major Responsibilities:  â€¢	Represent an agency in relations with City agencies, contractors, consultants, or their representatives, and the general public in matters relating to environmental engineering  â€¢	Engage in, or supervise the conduct of complex and important research, investigations, studies, or examinations related to the environmental engineering functions or activities of a department or agency.  â€¢	Prepare or supervise the preparation of the basic design plan, or significant and complex portions of the basic design plan, for major green infrastructure environmental engineering projects for the construction, remodeling, operation, maintenance, or repair of green infrastructure systems  â€¢	Makes interpretive detail sketches or layouts of intricate or fundamental portions or aspects of the basic design plan for environmental engineering projects as proposed or adopted, and prepares maps, designs, plans, contract and working drawings, estimates, contract specifications, and other technical specifications  â€¢	Approve or supervise the design, inspection, construction, demolition, and/or alteration of premises, installations, or apparatus to insure compliance with contracts, drawings, specifications, codes, resolutions, statutes, rules, and regulations  â€¢	Prepare reports on contracts and contract estimates, contract modifications and recommendations of award; participate in the development of proposals for green infrastructure engineering projects with regard to the public or private use of City property, the conduct of surveys, and the construction, operation or maintenance of green infrastructure structures  â€¢	When assigned in writing, may sign and seal engineering and other official documents","(1) Four (4) years of full-time, satisfactory experience in civil engineering work; and   (2) A valid New York State Professional Engineerâ€™s License. Current New York State registration as a Professional Engineer must be maintained for the duration of your employment.    A masters degree in civil engineering from an accredited college or university, accredited by regional, national, professional or specialized agencies recognized as accrediting bodies by the U.S. Secretary of Education and by the Council for Higher Education Accreditation (CHEA) may be substituted for one year of the civil engineering experience required in â€œ1'' above.  Special Note:  In addition to above qualification requirements, to be eligible for placement in Assignment Levels II and III, individuals must have at least one year within the last three years of experience as a major contributor or a project leader on a complex project requiring additional and specific expertise in the disciplines needed to design or construct the project.","Preferred Skills/Qualifications  1. Knowledge of sustainable urban design and Green Infrastructure principles, including LEED certification.  2. Sustainable design experience and knowledge.  3. Construction Project Management experience and knowledge.  4. Excellent communication, interpersonal and organizational skills.  5. Fluency in AutoCAD and Adobe Suite.  6. Proficiency in Microsoft Word and Excel, PowerPoint and Access.  7. Valid New York State Driver License.",2013-11-15
172874,DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Environmental Sciences and Engineering",56555,42-09 28th Street,"Hiring Rate (Flat Rate): $56,555.00     On-board After one (1) Year:  $62,210.00- $68,431.00    The Office of Public Health Engineering (OPHE), thorough technical monitoring, surveillance and enforcement action as necessary to ensure that the drinking water supply, recreational water facilities and sanitary sewage conditions are in full compliance with Federal, State and City Health Code requirements to protect the health and safety for all citizens of the City of New York.  The position will be reporting directly to the Section Chief for Environmental & Water Science Unit.     DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:     --Support implementation of the New York City Drinking Water Surveillance Program.    -- Conduct inspections of drinking water facilities in accordance with the Federal, State and City Health Code to ensure compliance.    -- Prepare or assist in the production of scientific reports on field inspections and research as it related to drinking and recreational water quality.    -- Assist and provide support as necessary in Office development, implementation and improvement initiatives.","1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to ''1'' or ''2'' above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ''2'' above. Two years as a City Research Scientist Level I can be substituted for the experience required in ''1'' and ''2'' above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.","The bureau prefers candidates with a background in Environmental Sciences, engineering plan and specification review; drinking and/or wastewater facility plan design; or general civil, or chemical engineering. The preferred candidate would also have experience in digital information system (GIS) analysis.",2014-10-28
172874,DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Environmental Sciences and Engineering",56555,42-09 28th Street,"Hiring Rate (Flat Rate): $56,555.00     On-board After one (1) Year:  $62,210.00- $68,431.00    The Office of Public Health Engineering (OPHE), thorough technical monitoring, surveillance and enforcement action as necessary to ensure that the drinking water supply, recreational water facilities and sanitary sewage conditions are in full compliance with Federal, State and City Health Code requirements to protect the health and safety for all citizens of the City of New York.  The position will be reporting directly to the Section Chief for Environmental & Water Science Unit.     DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:     --Support implementation of the New York City Drinking Water Surveillance Program.    -- Conduct inspections of drinking water facilities in accordance with the Federal, State and City Health Code to ensure compliance.    -- Prepare or assist in the production of scientific reports on field inspections and research as it related to drinking and recreational water quality.    -- Assist and provide support as necessary in Office development, implementation and improvement initiatives.","1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to ''1'' or ''2'' above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ''2'' above. Two years as a City Research Scientist Level I can be substituted for the experience required in ''1'' and ''2'' above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.","The bureau prefers candidates with a background in Environmental Sciences, engineering plan and specification review; drinking and/or wastewater facility plan design; or general civil, or chemical engineering. The preferred candidate would also have experience in digital information system (GIS) analysis.",2014-10-28
